task_id,task_name,global_step,average_reward
1,T1: short+no wind,250,38.4
1,T1: short+no wind,500,38.4
1,T1: short+no wind,750,47.8
1,T1: short+no wind,1000,57.6
1,T1: short+no wind,1250,53.6
1,T1: short+no wind,1500,182.2
1,T1: short+no wind,1750,323.6
1,T1: short+no wind,2000,89.4
1,T1: short+no wind,2250,309.2
1,T1: short+no wind,2500,229.8
1,T1: short+no wind,2750,229.6
1,T1: short+no wind,3000,231.2
1,T1: short+no wind,3250,212.6
1,T1: short+no wind,3500,230.0
1,T1: short+no wind,3750,284.2
1,T1: short+no wind,4000,79.8
1,T1: short+no wind,4250,41.8
1,T1: short+no wind,4500,338.6
1,T1: short+no wind,4750,451.2
1,T1: short+no wind,5000,401.6
1,T1: short+no wind,5250,432.0
1,T1: short+no wind,5500,430.6
1,T1: short+no wind,5750,431.2
1,T1: short+no wind,6000,500.0
1,T1: short+no wind,6250,500.0
1,T1: short+no wind,6500,500.0
1,T1: short+no wind,6750,500.0
1,T1: short+no wind,7000,500.0
1,T1: short+no wind,7250,500.0
1,T1: short+no wind,7500,500.0
1,T1: short+no wind,7750,500.0
1,T1: short+no wind,8000,500.0
1,T1: short+no wind,8250,500.0
1,T1: short+no wind,8500,500.0
1,T1: short+no wind,8750,500.0
1,T1: short+no wind,9000,500.0
1,T1: short+no wind,9250,500.0
1,T1: short+no wind,9500,500.0
1,T1: short+no wind,9750,500.0
1,T1: short+no wind,10000,500.0
1,T1: short+no wind,10250,500.0
1,T1: short+no wind,10500,500.0
1,T1: short+no wind,10750,500.0
1,T1: short+no wind,11000,500.0
1,T1: short+no wind,11250,500.0
1,T1: short+no wind,11500,500.0
1,T1: short+no wind,11750,500.0
1,T1: short+no wind,12000,500.0
1,T1: short+no wind,12250,500.0
1,T1: short+no wind,12500,500.0
1,T1: short+no wind,12750,500.0
1,T1: short+no wind,13000,500.0
1,T1: short+no wind,13250,500.0
1,T1: short+no wind,13500,500.0
1,T1: short+no wind,13750,500.0
1,T1: short+no wind,14000,500.0
1,T1: short+no wind,14250,500.0
1,T1: short+no wind,14500,500.0
1,T1: short+no wind,14750,500.0
1,T1: short+no wind,15000,500.0
1,T1: short+no wind,15250,500.0
1,T1: short+no wind,15500,500.0
1,T1: short+no wind,15750,500.0
1,T1: short+no wind,16000,500.0
1,T1: short+no wind,16250,500.0
1,T1: short+no wind,16500,500.0
1,T1: short+no wind,16750,500.0
