task_id,task_name,global_step,average_reward
1,T1: short+no wind,250,36.4
1,T1: short+no wind,500,56.2
1,T1: short+no wind,750,131.0
1,T1: short+no wind,1000,46.2
1,T1: short+no wind,1250,126.4
1,T1: short+no wind,1500,105.4
1,T1: short+no wind,1750,217.0
1,T1: short+no wind,2000,224.2
1,T1: short+no wind,2250,362.0
1,T1: short+no wind,2500,324.0
1,T1: short+no wind,2750,380.4
1,T1: short+no wind,3000,380.2
1,T1: short+no wind,3250,377.6
1,T1: short+no wind,3500,366.2
1,T1: short+no wind,3750,367.4
1,T1: short+no wind,4000,339.4
1,T1: short+no wind,4250,389.6
1,T1: short+no wind,4500,369.2
1,T1: short+no wind,4750,377.2
1,T1: short+no wind,5000,349.4
1,T1: short+no wind,5250,352.0
1,T1: short+no wind,5500,340.8
1,T1: short+no wind,5750,301.2
1,T1: short+no wind,6000,282.6
1,T1: short+no wind,6250,332.0
1,T1: short+no wind,6500,321.2
1,T1: short+no wind,6750,283.0
1,T1: short+no wind,7000,304.8
1,T1: short+no wind,7250,299.4
1,T1: short+no wind,7500,326.2
1,T1: short+no wind,7750,357.4
1,T1: short+no wind,8000,378.4
1,T1: short+no wind,8250,349.8
1,T1: short+no wind,8500,321.2
1,T1: short+no wind,8750,345.4
1,T1: short+no wind,9000,326.0
1,T1: short+no wind,9250,332.6
1,T1: short+no wind,9500,340.4
1,T1: short+no wind,9750,328.2
1,T1: short+no wind,10000,352.8
1,T1: short+no wind,10250,332.4
1,T1: short+no wind,10500,381.2
1,T1: short+no wind,10750,369.2
1,T1: short+no wind,11000,340.8
1,T1: short+no wind,11250,384.8
1,T1: short+no wind,11500,383.6
1,T1: short+no wind,11750,353.4
1,T1: short+no wind,12000,368.0
1,T1: short+no wind,12250,354.4
1,T1: short+no wind,12500,380.2
1,T1: short+no wind,12750,380.4
1,T1: short+no wind,13000,382.6
1,T1: short+no wind,13250,382.8
1,T1: short+no wind,13500,356.2
1,T1: short+no wind,13750,372.4
1,T1: short+no wind,14000,376.2
1,T1: short+no wind,14250,362.0
1,T1: short+no wind,14500,327.6
1,T1: short+no wind,14750,164.0
1,T1: short+no wind,15000,239.6
1,T1: short+no wind,15250,310.6
1,T1: short+no wind,15500,182.6
1,T1: short+no wind,15750,201.8
1,T1: short+no wind,16000,259.6
1,T1: short+no wind,16250,71.0
1,T1: short+no wind,16500,233.4
1,T1: short+no wind,16750,46.8
1,T1: short+no wind,17000,341.6
1,T1: short+no wind,17250,307.8
1,T1: short+no wind,17500,40.2
