task_id,task_name,global_step,average_reward
1,T1: short+no wind,250,38.8
1,T1: short+no wind,500,38.8
1,T1: short+no wind,750,58.0
1,T1: short+no wind,1000,53.6
1,T1: short+no wind,1250,58.6
1,T1: short+no wind,1500,62.8
1,T1: short+no wind,1750,73.0
1,T1: short+no wind,2000,64.6
1,T1: short+no wind,2250,60.2
1,T1: short+no wind,2500,65.2
1,T1: short+no wind,2750,65.2
1,T1: short+no wind,3000,67.4
1,T1: short+no wind,3250,56.8
1,T1: short+no wind,3500,55.4
1,T1: short+no wind,3750,57.8
1,T1: short+no wind,4000,59.6
1,T1: short+no wind,4250,73.8
1,T1: short+no wind,4500,79.6
1,T1: short+no wind,4750,87.8
1,T1: short+no wind,5000,332.2
1,T1: short+no wind,5250,327.6
1,T1: short+no wind,5500,318.6
1,T1: short+no wind,5750,332.0
1,T1: short+no wind,6000,340.8
1,T1: short+no wind,6250,208.6
1,T1: short+no wind,6500,159.6
1,T1: short+no wind,6750,311.6
1,T1: short+no wind,7000,435.8
1,T1: short+no wind,7250,205.4
1,T1: short+no wind,7500,323.2
1,T1: short+no wind,7750,116.0
1,T1: short+no wind,8000,175.8
1,T1: short+no wind,8250,183.4
1,T1: short+no wind,8500,181.2
1,T1: short+no wind,8750,197.0
1,T1: short+no wind,9000,178.2
1,T1: short+no wind,9250,182.2
1,T1: short+no wind,9500,185.2
1,T1: short+no wind,9750,187.0
1,T1: short+no wind,10000,188.4
1,T1: short+no wind,10250,194.6
1,T1: short+no wind,10500,178.6
1,T1: short+no wind,10750,179.0
1,T1: short+no wind,11000,168.2
1,T1: short+no wind,11250,174.6
1,T1: short+no wind,11500,160.2
1,T1: short+no wind,11750,232.0
1,T1: short+no wind,12000,191.2
1,T1: short+no wind,12250,187.6
1,T1: short+no wind,12500,223.8
1,T1: short+no wind,12750,191.2
1,T1: short+no wind,13000,198.4
1,T1: short+no wind,13250,195.4
1,T1: short+no wind,13500,229.6
1,T1: short+no wind,13750,200.6
1,T1: short+no wind,14000,231.4
1,T1: short+no wind,14250,231.0
1,T1: short+no wind,14500,202.8
1,T1: short+no wind,14750,235.0
1,T1: short+no wind,15000,241.4
1,T1: short+no wind,15250,240.4
1,T1: short+no wind,15500,247.0
1,T1: short+no wind,15750,248.6
1,T1: short+no wind,16000,259.8
1,T1: short+no wind,16250,247.8
1,T1: short+no wind,16500,248.8
1,T1: short+no wind,16750,251.4
1,T1: short+no wind,17000,254.4
1,T1: short+no wind,17250,254.6
1,T1: short+no wind,17500,257.4
1,T1: short+no wind,17750,267.6
1,T1: short+no wind,18000,268.0
1,T1: short+no wind,18250,265.4
1,T1: short+no wind,18500,265.6
1,T1: short+no wind,18750,264.8
1,T1: short+no wind,19000,265.4
1,T1: short+no wind,19250,265.6
1,T1: short+no wind,19500,260.6
1,T1: short+no wind,19750,258.4
1,T1: short+no wind,20000,262.2
1,T1: short+no wind,20250,258.2
1,T1: short+no wind,20500,259.6
1,T1: short+no wind,20750,255.2
1,T1: short+no wind,21000,256.8
1,T1: short+no wind,21250,256.4
1,T1: short+no wind,21500,253.6
1,T1: short+no wind,21750,257.0
1,T1: short+no wind,22000,257.4
1,T1: short+no wind,22250,256.4
1,T1: short+no wind,22500,259.6
1,T1: short+no wind,22750,256.6
1,T1: short+no wind,23000,256.6
1,T1: short+no wind,23250,263.6
1,T1: short+no wind,23500,259.0
1,T1: short+no wind,23750,257.6
1,T1: short+no wind,24000,259.8
1,T1: short+no wind,24250,263.2
1,T1: short+no wind,24500,260.8
1,T1: short+no wind,24750,263.8
1,T1: short+no wind,25000,264.4
2,T2: short+wind,250,34.2
2,T2: short+wind,500,34.2
2,T2: short+wind,750,60.2
2,T2: short+wind,1000,48.0
2,T2: short+wind,1250,51.4
2,T2: short+wind,1500,56.4
2,T2: short+wind,1750,65.8
2,T2: short+wind,2000,59.0
2,T2: short+wind,2250,53.6
2,T2: short+wind,2500,59.4
2,T2: short+wind,2750,57.4
2,T2: short+wind,3000,60.4
2,T2: short+wind,3250,50.6
2,T2: short+wind,3500,50.0
2,T2: short+wind,3750,50.2
2,T2: short+wind,4000,50.8
2,T2: short+wind,4250,63.4
2,T2: short+wind,4500,67.2
2,T2: short+wind,4750,71.6
2,T2: short+wind,5000,325.2
2,T2: short+wind,5250,316.0
2,T2: short+wind,5500,296.4
2,T2: short+wind,5750,339.0
2,T2: short+wind,6000,346.2
2,T2: short+wind,6250,245.0
2,T2: short+wind,6500,187.0
2,T2: short+wind,6750,251.0
2,T2: short+wind,7000,467.0
2,T2: short+wind,7250,185.8
2,T2: short+wind,7500,265.6
2,T2: short+wind,7750,174.0
2,T2: short+wind,8000,193.2
2,T2: short+wind,8250,200.8
2,T2: short+wind,8500,202.8
2,T2: short+wind,8750,220.2
2,T2: short+wind,9000,206.6
2,T2: short+wind,9250,211.2
2,T2: short+wind,9500,213.4
2,T2: short+wind,9750,215.6
